K	ADVFM_AVG	ADVFM_in	ADVFM_on	ADVFM_near	ADVFM_behind	FM	PT	ID
 0	61.3275	58.59	66.41	56.25	64.06	67.19	84.38	0967
 0	61.3275	67.97	73.44	39.84	64.06	70	79.06	0663
 0	61.3325	21.88	53.91	84.38	85.16	83.12	75	0952
 0	61.33	27.34	28.91	91.41	97.66	85.94	77.5	0666
 0	61.33	74.22	69.53	34.38	67.19	68.12	82.19	0881
 0	61.33	85.16	79.69	35.94	44.53	62.81	80	0662
 0	61.525	79.69	84.38	41.41	40.62	63.44	84.69	0058
 0	61.52	7.81	53.12	89.84	95.31	88.75	86.88	0202
 0	61.7175	24.22	46.09	85.94	90.62	80	80.94	0679
 0	61.7175	70.31	76.56	51.56	48.44	65.62	82.5	0362
 0	61.7175	76.56	54.69	53.12	62.50	70.94	80.31	0842
 0	61.72	23.44	46.88	85.94	90.62	81.56	78.12	0276
 0	61.72	25.00	41.41	82.81	97.66	86.88	79.38	0204
 0	61.72	66.41	57.03	49.22	74.22	75.31	81.56	0572
 0	61.72	82.03	78.91	35.16	50.78	61.56	80.31	0310
 0	61.9125	7.03	57.81	86.72	96.09	88.12	84.06	0243
 0	61.915	41.41	28.91	83.59	93.75	78.12	78.44	0004
 0	62.1075	50.78	64.84	62.50	70.31	70.31	78.44	0449
 0	62.1075	51.56	64.84	56.25	75.78	72.19	81.56	0990
 0	62.11	32.03	39.06	85.94	91.41	83.75	78.75	0524
 0	62.305	19.53	39.84	92.19	97.66	90.31	82.81	0308
 0	62.305	78.12	84.38	35.16	51.56	67.19	82.81	0290
 0	62.3075	18.75	41.41	91.41	97.66	87.19	83.12	0062
 0	62.5	27.34	42.19	89.06	91.41	87.5	77.81	0525
 0	62.5	3.91	58.59	89.84	97.66	85	79.69	0571
 0	62.5	39.84	22.66	94.53	92.97	87.5	77.81	0245
 0	62.5	63.28	74.22	53.12	59.38	64.38	77.81	0836
 0	62.5	64.84	68.75	48.44	67.97	71.56	78.12	0313
 0	62.5	69.53	75.78	42.19	62.50	66.88	83.12	0012
 0	62.695	32.03	69.53	73.44	75.78	74.06	82.81	0849
 0	62.695	7.81	57.81	92.97	92.19	80.31	78.75	0157
 0	62.695	9.38	55.47	89.84	96.09	85.31	85.94	0527
 0	62.89	18.75	50.00	89.84	92.97	85.94	82.81	0338
 0	62.89	19.53	56.25	88.28	87.50	87.5	77.5	0242
 0	62.8925	12.50	47.66	94.53	96.88	88.12	82.19	0224
 0	62.8925	18.75	60.16	84.38	88.28	80	73.12	0548
 0	62.89	25.78	57.03	85.94	82.81	79.06	83.44	0493
 0	62.89	26.56	42.19	88.28	94.53	86.25	80.31	0097
 0	62.89	50.00	53.91	64.84	82.81	75.94	81.25	0497
 0	63.085	30.47	57.03	77.34	87.50	78.75	81.25	0924
 0	63.085	39.06	54.69	77.34	81.25	82.19	81.56	0876
 0	63.085	80.47	75.00	38.28	58.59	63.12	81.88	0986
 0	63.0875	28.91	42.97	88.28	92.19	84.38	82.5	0278
 0	63.2825	27.34	49.22	85.16	91.41	82.19	82.5	0769
 0	63.2825	37.50	60.94	70.31	84.38	82.5	84.69	0605
 0	63.28	57.81	75.00	50.00	70.31	72.5	82.19	0723
 0	63.28	70.31	71.09	51.56	60.16	68.75	79.69	0172
 0	63.28	71.09	68.75	44.53	68.75	66.88	81.25	0195
 0	63.4725	33.59	78.12	65.62	76.56	78.75	81.88	0587
 0	63.48	67.19	66.41	48.44	71.88	70.31	80	0466
 0	63.67	20.31	46.09	94.53	93.75	88.75	76.56	0945
 0	63.67	33.59	40.62	86.72	93.75	85.31	81.56	0050
 0	63.67	77.34	65.62	49.22	62.50	71.56	80.94	0335
 0	63.865	32.03	46.09	89.06	88.28	83.12	75	0729
 0	63.865	52.34	68.75	65.62	68.75	75.31	78.44	0009
 0	63.8675	46.88	50.78	70.31	87.50	80	79.69	0547
 0	64.06	15.62	50.78	94.53	95.31	84.06	82.5	0749
 0	64.0625	25.00	42.19	94.53	94.53	84.38	82.5	0621
 0	64.0625	64.06	75.00	53.91	63.28	76.25	81.25	0801
 0	64.065	36.72	46.88	81.25	91.41	83.44	75.94	0376
 0	64.06	78.12	76.56	44.53	57.03	70	78.75	0173
 0	64.255	65.62	44.53	57.81	89.06	74.38	78.75	0301
 0	64.2575	48.44	78.12	68.75	61.72	72.19	79.69	0866
 0	64.2575	58.59	49.22	64.84	84.38	76.88	78.44	0066
 0	64.2575	75.00	46.09	61.72	74.22	73.12	73.12	0826
 0	64.45	40.62	32.81	89.84	94.53	88.44	77.81	0907
 0	64.455	32.03	49.22	85.16	91.41	81.56	77.19	0506
 0	64.6475	53.12	75.00	61.72	68.75	75.62	80.94	0025
 0	64.8425	40.62	50.78	81.25	86.72	83.12	84.38	0701
 0	64.845	13.28	67.97	85.16	92.97	86.56	79.69	0787
 0	64.845	41.41	50.00	80.47	87.50	86.56	82.5	0455
 0	65.0375	32.03	39.84	94.53	93.75	86.25	82.81	0655
 0	65.0375	46.09	50.78	76.56	86.72	83.44	78.12	0798
 0	65.0375	61.72	57.03	65.62	75.78	80.62	79.69	0601
 0	65.0375	65.62	67.19	61.72	65.62	71.25	83.75	0523
 0	65.04	57.03	85.16	48.44	69.53	74.38	77.81	0026
 0	65.04	60.94	80.47	53.91	64.84	70.31	82.19	0191
 0	65.235	27.34	54.69	87.50	91.41	90.94	80.94	0299
 0	65.235	35.94	38.28	92.97	93.75	84.38	77.5	0251
 0	65.235	37.50	43.75	88.28	91.41	86.25	76.88	0495
 0	65.235	41.41	57.03	78.12	84.38	80.62	80.62	0372
 0	65.235	50.78	53.12	72.66	84.38	80.31	83.44	0135
 0	65.4275	45.31	53.12	78.12	85.16	84.69	80.31	0283
 0	65.43	32.03	80.47	71.88	77.34	78.44	79.69	0055
 0	65.43	39.06	55.47	78.91	88.28	81.88	79.38	0033
 0	65.6225	39.06	51.56	82.03	89.84	83.75	78.12	0188
 0	65.625	35.16	52.34	85.16	89.84	80.31	80.31	0793
 0	65.625	71.88	44.53	64.84	81.25	77.5	80	0913
 0	65.6275	37.50	67.19	72.66	85.16	83.44	82.19	0593
 0	65.8175	51.56	52.34	76.56	82.81	83.44	78.75	0959
 0	65.82	68.75	73.44	58.59	62.50	71.88	81.25	0543
 0	66.015	28.12	68.75	82.03	85.16	80.94	74.06	0138
 0	66.0175	54.69	60.94	78.91	69.53	77.5	78.12	0174
 0	66.2125	35.94	60.16	80.47	88.28	85	79.38	0830
 0	66.215	79.69	66.41	46.88	71.88	67.81	79.38	0181
 0	66.21	74.22	89.84	46.09	54.69	69.69	78.75	0220
 0	66.405	28.12	73.44	78.12	85.94	85	80.62	0698
 0	66.4075	37.50	66.41	82.03	79.69	75.62	80.94	0084
 0	66.4075	80.47	84.38	56.25	44.53	62.81	81.88	0530
 0	66.41	34.38	47.66	92.19	91.41	86.88	79.06	0643
 0	66.6025	37.50	54.69	85.94	88.28	79.06	79.69	0858
 0	66.6025	41.41	53.91	82.03	89.06	85.94	79.69	0870
 0	66.6025	51.56	47.66	79.69	87.50	82.5	80.31	0824
 0	66.6025	71.09	67.19	59.38	68.75	70	80	0355
 0	66.6	27.34	62.50	85.94	90.62	81.56	79.06	0359
