K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
0	21.75	10.72	8.52	30.64	0.97	0.0	68.62	31.13	31.41	8.84	20.31	0814
64	50.282	-37.83	35.48	74.39	15.94	71.57	54.03	84.56	84.38	69.84	65.62	0069
0	23.404	39.01	42.27	0.0	13.61	0.0	61.14	88.94	88.82	66.62	75.0	0315
64	50.626	-57.04	36.82	81.87	26.96	87.83	19.65	77.13	87.91	79.71	71.88	0269
64	45.544	-23.45	52.66	68.07	20.64	51.16	35.19	78.75	77.33	67.43	56.25	0252
0	37.028	3.75	7.36	24.68	43.71	44.87	64.52	76.87	86.18	75.6	62.5	0270
0	39.556	-39.35	8.1	61.75	18.85	64.58	44.5	72.39	87.12	83.46	75.0	0065
0	47.694	-41.16	21.51	69.94	15.88	74.84	56.3	67.37	71.66	71.12	51.56	0047
0	37.354	3.12	39.81	41.17	43.6	29.79	32.4	81.11	86.54	75.15	67.19	0004
0	23.452	39.09	25.27	0.0	49.32	0.0	42.67	89.0	88.51	67.29	64.06	0303
0	22.64	37.25	31.68	0.58	16.42	0.0	64.52	35.88	35.96	5.09	7.81	0519
0	35.736	-89.34	0.0	88.65	0.0	90.03	0.0	5.71	6.04	67.15	35.94	0828
64	22.898	38.16	29.92	0.0	10.16	0.0	74.41	89.07	88.59	57.97	59.38	0002
64	52.574	-48.02	19.68	85.5	22.58	77.27	57.84	77.96	87.68	76.72	70.31	0790
0	22.316	37.19	54.21	0.0	5.02	0.0	52.35	88.61	89.18	57.97	57.81	0520
0	22.68	37.8	65.82	0.0	23.61	0.0	23.97	88.04	88.44	57.5	43.75	0279
0	21.082	35.14	74.66	0.0	14.69	0.0	16.06	89.12	88.44	57.78	46.88	0771
64	45.8	-38.32	59.2	63.74	13.88	73.85	18.33	73.0	80.99	75.83	71.88	0823
0	26.7	31.49	51.99	11.35	30.04	4.27	35.85	88.04	86.31	67.46	64.06	0271
0	23.008	38.35	85.15	0.0	6.21	0.0	23.68	86.15	86.15	57.61	31.25	0765
0	23.652	39.42	22.67	0.0	49.7	0.0	45.89	88.42	88.33	58.84	53.12	0291
64	22.622	37.7	67.93	0.0	18.64	0.0	26.54	88.54	88.92	57.81	60.94	0013
0	28.938	19.6	40.87	16.96	36.25	17.4	33.21	83.74	88.54	76.19	78.12	0021
64	53.812	-32.53	36.5	73.1	48.73	73.56	37.17	80.43	85.72	73.25	79.69	0046
0	24.998	41.66	47.66	0.0	22.42	0.0	54.91	88.92	88.36	58.76	70.31	0763
64	39.344	-8.9	10.95	62.92	38.2	26.44	58.21	82.48	89.43	75.69	64.06	0011
