K	ADVFM_AVG	ADVFM_NEW-OLD	ADVFM_behind	ADVFM_in	ADVFM_near	ADVFM_on	ADVFM_under	FM	FMS	PT	SYNTH	ID
64	60.364	98.56	99.79	2.46	99.57	0.0	100.0	88.66	89.02	68.19	71.88	2338
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.23	88.67	58.7	48.44	1768
0	53.958	-53.56	32.21	83.04	30.2	89.15	35.19	49.01	74.88	76.83	64.06	1788
64	73.086	-20.19	76.87	87.72	51.59	82.68	66.57	73.0	84.48	75.94	64.06	2528
64	35.736	-89.34	0.0	88.65	0.0	90.03	0.0	6.11	6.47	67.88	50.0	2637
64	74.522	-20.57	64.06	87.37	65.91	86.36	68.91	73.7	79.54	77.59	60.94	1298
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.54	88.69	58.2	45.31	2058
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.23	88.99	57.92	59.38	2112
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.08	88.33	58.06	65.62	1115
64	79.204	0.15	84.83	74.85	67.48	83.38	85.48	76.32	81.54	72.47	59.38	1781
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.0	88.92	58.67	57.81	1060
64	66.054	75.95	92.47	25.15	97.57	15.81	99.27	86.96	90.21	71.71	76.56	1561
64	76.382	35.13	93.21	41.87	85.2	68.74	92.89	83.07	87.0	69.03	68.75	1609
0	59.99	99.98	100.0	0.0	99.95	0.0	100.0	88.87	88.03	65.7	70.31	2138
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.21	87.93	57.22	48.44	1281
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.24	88.49	59.21	48.44	2304
64	77.052	32.56	90.67	53.68	83.74	61.35	95.82	85.32	88.72	80.75	76.56	1001
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.84	88.67	57.97	48.44	1004
64	78.216	13.2	86.73	63.98	76.88	76.61	86.88	83.12	84.61	77.03	73.44	2620
64	77.388	32.8	85.18	46.9	92.06	68.52	94.28	85.78	89.8	80.47	67.19	2045
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.66	89.04	58.81	59.38	1613
64	78.956	17.77	86.06	60.12	81.96	76.46	90.18	82.83	90.19	80.41	75.0	1280
64	59.978	99.96	99.89	0.0	100.0	0.0	100.0	87.78	87.02	58.84	53.12	1611
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.11	88.8	58.7	46.88	2069
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.03	88.85	57.58	59.38	1321
64	78.072	39.53	91.97	46.67	93.57	62.04	96.11	86.05	86.41	68.91	57.81	2367
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.24	88.06	56.77	46.88	2059
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.09	88.92	57.86	43.75	1528
64	81.806	29.47	89.16	72.75	92.87	55.5	98.75	86.77	91.97	81.23	57.81	1505
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.02	89.05	67.57	53.12	2523
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.72	88.71	57.75	62.5	1548
64	81.872	6.01	83.98	75.44	79.47	81.1	89.37	78.53	80.17	69.78	60.94	2031
0	59.956	99.93	100.0	0.0	99.78	0.0	100.0	86.61	86.56	57.72	45.31	2623
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.9	89.15	57.64	54.69	2507
64	73.494	57.22	95.46	14.15	97.57	64.18	96.11	86.39	86.99	67.32	60.94	1275
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.95	88.66	58.7	51.56	1050
64	72.972	38.24	87.26	38.6	81.79	61.46	95.75	84.87	90.98	81.81	79.69	2333
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.79	88.9	57.72	56.25	2543
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.66	88.57	59.15	59.38	1577
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.52	88.49	58.06	42.19	1019
0	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.71	88.26	58.48	48.44	1073
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	88.69	88.62	58.42	56.25	2324
64	60.0	100.0	100.0	0.0	100.0	0.0	100.0	89.18	88.72	57.78	43.75	2604
64	59.934	99.89	99.96	0.0	100.0	0.0	99.71	87.2	86.92	57.67	39.06	2364
